dates,results,locations,game_nums,opponent,date_diff,rest,game_arenas,travel_miles
2019-12-22,Win,Home,31,IND,1.0,0.0,"(43.0451, 87.9174)",734
2019-12-25,Loss,Away,32,PHI,3.0,2.0,"(39.9012, 75.172)",695
2019-12-27,Win,Away,33,ATL,2.0,1.0,"(33.7573, 84.3963)",663
2019-12-28,Win,Home,34,ORL,1.0,0.0,"(43.0451, 87.9174)",668
2019-12-30,Win,Away,35,CHI,2.0,1.0,"(41.8807, 87.6742)",81
2020-01-01,Win,Home,36,MIN,2.0,1.0,"(43.0451, 87.9174)",81
2020-01-04,Win,Home,37,SAS,3.0,2.0,"(43.0451, 87.9174)",0
2020-01-06,Loss,Away,38,SAS,2.0,1.0,"(29.4272, 98.4375)",1105
2020-01-08,Win,Away,39,GSW,2.0,1.0,"(37.768, 122.3877)",1490
2020-01-10,Win,Away,40,SAC,2.0,1.0,"(38.5802, 121.4997)",73
2020-01-11,Win,Away,41,POR,1.0,0.0,"(45.5316, 122.6668)",483
2020-01-14,Win,Home,42,NYK,3.0,2.0,"(43.0451, 87.9174)",1718
2020-01-16,Win,Home,43,BOS,2.0,1.0,"(43.0451, 87.9174)",0
2020-01-18,Win,Away,44,BRK,2.0,1.0,"(40.6826, 73.9754)",736
2020-01-20,Win,Home,45,CHI,2.0,1.0,"(43.0451, 87.9174)",736
2020-01-24,Win,Away,46,CHO,4.0,3.0,"(35.2252, 80.8394)",659
2020-01-28,Win,Home,47,WAS,4.0,3.0,"(43.0451, 87.9174)",659
2020-01-31,Loss,Home,48,DEN,3.0,2.0,"(43.0451, 87.9174)",0
2020-02-02,Win,Home,49,PHO,2.0,1.0,"(43.0451, 87.9174)",0
2020-02-04,Win,Away,50,NOP,2.0,1.0,"(33.7114, 78.8844)",808
2020-02-06,Win,Home,51,PHI,2.0,1.0,"(43.0451, 87.9174)",808
2020-02-08,Win,Away,52,ORL,2.0,1.0,"(28.5392, 81.3839)",1064
2020-02-10,Win,Home,53,SAC,2.0,1.0,"(43.0451, 87.9174)",1064
2020-02-12,Loss,Away,54,IND,2.0,1.0,"(39.764, 86.1555)",244
2020-02-20,Win,Away,55,DET,8.0,7.0,"(42.3411, 83.0553)",240
2020-02-22,Win,Home,56,PHI,2.0,1.0,"(43.0451, 87.9174)",252
2020-02-24,Win,Away,57,WAS,2.0,1.0,"(38.8981, 77.0208)",637
2020-02-25,Win,Away,58,TOR,1.0,0.0,"(43.6435, 79.3791)",349
2020-02-28,Win,Home,59,OKC,3.0,2.0,"(43.0451, 87.9174)",431
2020-03-01,Win,Away,60,CHO,2.0,1.0,"(35.2252, 80.8394)",659
2020-03-02,Loss,Away,61,MIA,1.0,0.0,"(25.7814, 80.187)",651
2020-03-04,Win,Home,62,IND,2.0,1.0,"(43.0451, 87.9174)",1267
2020-03-06,Loss,Away,63,LAL,2.0,1.0,"(34.043, 118.2673)",1745
2020-03-08,Loss,Away,64,PHO,2.0,1.0,"(33.4457, 112.0712)",359
2020-03-09,Loss,Away,65,DEN,1.0,0.0,"(39.7487, 105.0076)",585
