dates,results,locations,game_nums,opponent,date_diff,rest,opp_date_diff,opp_rest,rest_diff,abbrv
2015-11-30,Loss,Home,16,GSW,2,1,2.0,1.0,0.0,UTA
2015-12-03,Loss,Home,17,ORL,3,2,2.0,1.0,1.0,UTA
2015-12-05,Win,Home,18,IND,2,1,1.0,0.0,1.0,UTA
2015-12-08,Loss,Away,19,SAC,3,2,2.0,1.0,1.0,UTA
2015-12-09,Win,Home,20,NYK,1,0,2.0,1.0,-1.0,UTA
2015-12-11,Loss,Home,21,OKC,2,1,2.0,1.0,0.0,UTA
2015-12-13,Loss,Away,22,OKC,2,1,2.0,1.0,0.0,UTA
2015-12-14,Loss,Away,23,SAS,1,0,2.0,1.0,-1.0,UTA
2015-12-16,Loss,Home,24,NOP,2,1,2.0,1.0,0.0,UTA
2015-12-18,Win,Home,25,DEN,2,1,1.0,0.0,1.0,UTA
2015-12-21,Win,Home,26,PHO,3,2,1.0,0.0,2.0,UTA
2015-12-23,Loss,Away,27,GSW,2,1,2.0,1.0,0.0,UTA
2015-12-26,Loss,Home,28,LAC,3,2,1.0,0.0,2.0,UTA
2015-12-28,Win,Home,29,PHI,2,1,2.0,1.0,0.0,UTA
2015-12-30,Loss,Away,30,MIN,2,1,3.0,2.0,-1.0,UTA
2015-12-31,Win,Home,31,POR,1,0,2.0,1.0,-1.0,UTA
2016-01-02,Win,Home,32,MEM,2,1,3.0,2.0,-1.0,UTA
2016-01-04,Loss,Home,33,HOU,2,1,3.0,2.0,-1.0,UTA
2016-01-06,Loss,Away,34,SAS,2,1,2.0,1.0,0.0,UTA
2016-01-07,Loss,Away,35,HOU,1,0,2.0,1.0,-1.0,UTA
2016-01-09,Win,Home,36,MIA,2,1,2.0,1.0,0.0,UTA
2016-01-10,Win,Away,37,LAL,1,0,2.0,1.0,-1.0,UTA
2016-01-13,Loss,Away,38,POR,3,2,2.0,1.0,1.0,UTA
2016-01-14,Loss,Home,39,SAC,1,0,1.0,0.0,0.0,UTA
2016-01-16,Win,Home,40,LAL,2,1,2.0,1.0,0.0,UTA
2016-01-18,Loss,Away,41,CHO,2,1,2.0,1.0,0.0,UTA
2016-01-20,Loss,Away,42,NYK,2,1,3.0,2.0,-1.0,UTA
2016-01-22,Win,Away,43,BRK,2,1,2.0,1.0,0.0,UTA
2016-01-25,Loss,Home,44,DET,3,2,2.0,1.0,1.0,UTA
2016-01-27,Win,Home,45,CHO,2,1,2.0,1.0,0.0,UTA
2016-01-29,Win,Home,46,MIN,2,1,2.0,1.0,0.0,UTA
2016-02-01,Win,Home,47,CHI,3,2,1.0,0.0,2.0,UTA
2016-02-03,Win,Home,48,DEN,2,1,2.0,1.0,0.0,UTA
2016-02-05,Win,Home,49,MIL,2,1,1.0,0.0,1.0,UTA
2016-02-06,Win,Away,50,PHO,1,0,2.0,1.0,-1.0,UTA
2016-02-09,Win,Away,51,DAL,3,2,1.0,0.0,2.0,UTA
2016-02-10,Loss,Away,52,NOP,1,0,2.0,1.0,-1.0,UTA
2016-02-18,Loss,Away,53,WAS,8,7,1.0,0.0,7.0,UTA
2016-02-19,Win,Home,54,BOS,1,0,2.0,1.0,-1.0,UTA
2016-02-21,Loss,Away,55,POR,2,1,9.0,8.0,-7.0,UTA
2016-02-23,Win,Home,56,HOU,2,1,9.0,8.0,-7.0,UTA
2016-02-25,Loss,Home,57,SAS,2,1,3.0,2.0,-1.0,UTA
2016-02-27,Loss,Home,58,BRK,2,1,2.0,1.0,0.0,UTA
2016-02-29,Loss,Away,59,BOS,2,1,3.0,2.0,-1.0,UTA
2016-03-02,Loss,Away,60,TOR,2,1,2.0,1.0,0.0,UTA
2016-03-04,Loss,Away,61,MEM,2,1,2.0,1.0,0.0,UTA
2016-03-05,Win,Away,62,NOP,1,0,2.0,1.0,-1.0,UTA
2016-03-08,Loss,Home,63,ATL,3,2,1.0,0.0,2.0,UTA
2016-03-09,Loss,Away,64,GSW,1,0,2.0,1.0,-1.0,UTA
2016-03-11,Win,Home,65,WAS,2,1,1.0,0.0,1.0,UTA
2016-03-13,Win,Away,66,SAC,2,1,2.0,1.0,0.0,UTA
2016-03-14,Win,Home,67,CLE,1,0,2.0,1.0,-1.0,UTA
2016-03-17,Win,Home,68,PHO,3,2,3.0,2.0,0.0,UTA
2016-03-19,Loss,Away,69,CHI,2,1,2.0,1.0,0.0,UTA
2016-03-20,Win,Away,70,MIL,1,0,3.0,2.0,-2.0,UTA
2016-03-23,Win,Away,71,HOU,3,2,3.0,2.0,0.0,UTA
2016-03-24,Loss,Away,72,OKC,1,0,2.0,1.0,-1.0,UTA
2016-03-26,Win,Away,73,MIN,2,1,1.0,0.0,1.0,UTA
2016-03-28,Win,Home,74,LAL,2,1,1.0,0.0,1.0,UTA
2016-03-30,Loss,Home,75,GSW,2,1,1.0,0.0,1.0,UTA
2016-04-01,Win,Home,76,MIN,2,1,2.0,1.0,0.0,UTA
2016-04-03,Win,Away,77,PHO,2,1,2.0,1.0,0.0,UTA
2016-04-05,Loss,Home,78,SAS,2,1,2.0,1.0,0.0,UTA
2016-04-08,Loss,Home,79,LAC,3,2,2.0,1.0,1.0,UTA
2016-04-10,Win,Away,80,DEN,2,1,3.0,2.0,-1.0,UTA
2016-04-11,Loss,Home,81,DAL,1,0,1.0,0.0,0.0,UTA
2016-04-13,Loss,Away,82,LAL,2,1,2.0,1.0,0.0,UTA
2015-10-28,Win,Home,1,NOP,10,9,10.0,9.0,0.0,POR
2015-10-30,Loss,Away,2,PHO,2,1,2.0,1.0,0.0,POR
2015-10-31,Loss,Home,3,PHO,1,0,1.0,0.0,0.0,POR
2015-11-02,Win,Away,4,MIN,2,1,3.0,2.0,-1.0,POR
2015-11-04,Win,Away,5,UTA,2,1,1.0,0.0,1.0,POR
2015-11-05,Win,Home,6,MEM,1,0,2.0,1.0,-1.0,POR
2015-11-08,Loss,Home,7,DET,3,2,1.0,0.0,2.0,POR
2015-11-09,Loss,Away,8,DEN,1,0,2.0,1.0,-1.0,POR
2015-11-11,Loss,Home,9,SAS,2,1,3.0,2.0,-1.0,POR
2015-11-13,Loss,Away,10,MEM,2,1,2.0,1.0,0.0,POR
2015-11-15,Loss,Away,11,CHO,2,1,2.0,1.0,0.0,POR
2015-11-16,Loss,Away,12,SAS,1,0,2.0,1.0,-1.0,POR
2015-11-18,Loss,Away,13,HOU,2,1,2.0,1.0,0.0,POR
2015-11-20,Win,Home,14,LAC,2,1,2.0,1.0,0.0,POR
2015-11-22,Win,Away,15,LAL,2,1,4.0,3.0,-2.0,POR
2015-11-24,Loss,Home,16,CHI,2,1,2.0,1.0,0.0,POR
2015-11-28,Win,Home,17,LAL,4,3,2.0,1.0,2.0,POR
2015-11-30,Loss,Away,18,LAC,2,1,1.0,0.0,1.0,POR
